"filename", "language", "C++", "C", "comment", "blank", "total"
"d:\start\src\app\echo\tcp_echo_client.c", "C", 0, 46, 10, 10, 66
"d:\start\src\app\echo\tcp_echo_client.h", "C", 0, 4, 1, 2, 7
"d:\start\src\app\echo\tcp_echo_server.c", "C", 0, 47, 5, 5, 57
"d:\start\src\app\echo\tcp_echo_server.h", "C++", 4, 0, 0, 3, 7
"d:\start\src\app\test\main.c", "C", 0, 287, 21, 61, 369
"d:\start\src\net\net\dbg.h", "C", 0, 28, 13, 12, 53
"d:\start\src\net\net\ether.h", "C++", 22, 0, 2, 1, 25
"d:\start\src\net\net\exmsg.h", "C", 0, 22, 11, 6, 39
"d:\start\src\net\net\fixq.h", "C", 0, 19, 7, 4, 30
"d:\start\src\net\net\ipaddr.h", "C", 0, 19, 1, 5, 25
"d:\start\src\net\net\loop.h", "C++", 5, 0, 0, 3, 8
"d:\start\src\net\net\mblock.h", "C++", 16, 0, 7, 3, 26
"d:\start\src\net\net\net.h", "C", 0, 6, 11, 5, 22
"d:\start\src\net\net\net_cfg.h", "C", 0, 28, 0, 13, 41
"d:\start\src\net\net\net_err.h", "C", 0, 16, 1, 2, 19
"d:\start\src\net\net\netif.h", "C", 0, 69, 3, 22, 94
"d:\start\src\net\net\nlist.h", "C", 0, 62, 14, 27, 103
"d:\start\src\net\net\nlocker.h", "C", 0, 20, 9, 4, 33
"d:\start\src\net\net\pktbuf.h", "C++", 60, 0, 0, 19, 79
"d:\start\src\net\net\protocol.h", "C++", 7, 0, 0, 3, 10
"d:\start\src\net\net\sys.h", "C", 0, 18, 2, 4, 24
"d:\start\src\net\net\timer.h", "C", 0, 21, 0, 5, 26
"d:\start\src\net\net\tools.h", "C", 0, 31, 10, 2, 43
"d:\start\src\net\src\dbg.c", "C", 0, 52, 1, 7, 60
"d:\start\src\net\src\ether.c", "C", 0, 133, 12, 23, 168
"d:\start\src\net\src\exmsg.c", "C", 0, 83, 27, 21, 131
"d:\start\src\net\src\fixq.c", "C", 0, 84, 4, 17, 105
"d:\start\src\net\src\ipaddr.c", "C", 0, 41, 6, 8, 55
"d:\start\src\net\src\loop.c", "C", 0, 41, 2, 8, 51
"d:\start\src\net\src\mblock.c", "C", 0, 67, 24, 12, 103
"d:\start\src\net\src\net.c", "C", 0, 27, 2, 3, 32
"d:\start\src\net\src\netif.c", "C", 0, 268, 8, 35, 311
"d:\start\src\net\src\nlist.c", "C", 0, 60, 14, 14, 88
"d:\start\src\net\src\nlocker.c", "C", 0, 27, 0, 2, 29
"d:\start\src\net\src\pktbuf.c", "C", 0, 495, 16, 82, 593
"d:\start\src\net\src\timer.c", "C", 0, 73, 3, 7, 83
"d:\start\src\net\src\tools.c", "C", 0, 16, 1, 1, 18
"d:\start\src\plat\net_plat.c", "C", 0, 8, 0, 0, 8
"d:\start\src\plat\net_plat.h", "C++", 5, 0, 0, 2, 7
"d:\start\src\plat\netif_pcap.c", "C", 0, 77, 3, 15, 95
"d:\start\src\plat\netif_pcap.h", "C++", 11, 0, 0, 0, 11
"d:\start\src\plat\sys_plat.c", "C", 0, 446, 136, 122, 704
"d:\start\src\plat\sys_plat.h", "C", 0, 133, 18, 32, 183
"Total", "-", 130, 2874, 405, 632, 4041
